postcode,city,street,number
00-001,Warszawa,Świętokrzyska,31
00-002,Warszawa,Świętokrzyska,20
00-003,Warszawa,Jasna,9
00-004,Warszawa,Marszałkowska,136
00-005,Warszawa,Rysia,1
00-007,Warszawa,Jasna,5
00-008,Warszawa,Marszałkowska,124
00-009,Warszawa,Moniuszki Stanisława,6
00-010,Warszawa,Sienkiewicza Henryka,8
00-012,Warszawa,Zgoda,10
00-013,Warszawa,Jasna,2
00-014,Warszawa,Moniuszki Stanisława,1
00-015,Warszawa,Sienkiewicza Henryka,2
00-016,Warszawa,Marszałkowska,116
00-017,Warszawa,Marszałkowska,104
00-018,Warszawa,Zgoda,2
00-019,Warszawa,Złota,2
00-020,Warszawa,Chmielna,2
00-020,Warszawa,Szpitalna,1
00-021,Warszawa,Chmielna,1
00-022,Warszawa,Krucza,51
00-023,Warszawa,Widok,2
00-024,Warszawa,Aleje Jerozolimskie,26
00-025,Warszawa,Krucza,50
00-026,Warszawa,Marszałkowska,100
00-026,Warszawa,Widok,19
00-028,Warszawa,Bracka,16
00-029,Warszawa,Nowy Świat,15
00-031,Warszawa,Szpitalna,2
00-034,Warszawa,Warecka,1
00-038,Warszawa,Moniuszki Stanisława,2
00-040,Warszawa,Warecka,2
00-041,Warszawa,Jasna,14
00-042,Warszawa,Nowy Świat,41
00-044,Warszawa,Świętokrzyska,10
00-046,Warszawa,Nowy Świat,65
00-047,Warszawa,Krakowskie Przedmieście,1
00-048,Warszawa,Mazowiecka,2
00-049,Warszawa,Świętokrzyska,5
00-050,Warszawa,Świętokrzyska,14
00-052,Warszawa,Mazowiecka,1
00-052,Warszawa,Świętokrzyska,18
00-054,Warszawa,Jasna,18
00-056,Warszawa,Kredytowa,1
00-058,Warszawa,Jasna,19
00-059,Warszawa,Rysia,2
00-060,Warszawa,Królewska,25
00-061,Warszawa,Marszałkowska,140
00-062,Warszawa,Kredytowa,2
00-064,Warszawa,Królewska,15
00-065,Warszawa,Królewska,2
00-068,Warszawa,Krakowskie Przedmieście,5
00-071,Warszawa,Krakowskie Przedmieście,13
00-075,Warszawa,Senatorska,2
00-079,Warszawa,Krakowskie Przedmieście,79
00-080,Warszawa,Miodowa,2
00-082,Warszawa,Senatorska,6
00-084,Warszawa,Daniłowiczowska,1
00-085,Warszawa,Bielańska,2
00-086,Warszawa,Bielańska,1
00-092,Warszawa,Hipoteczna,2
00-093,Warszawa,Daniłowiczowska,2
00-095,Warszawa,Senatorska,20
00-099,Warszawa,Senatorska,23
00-102,Warszawa,Marszałkowska,111
00-103,Warszawa,Królewska,16
00-105,Warszawa,Twarda,2
00-110,Warszawa,Marszałkowska,101
00-113,Warszawa,Plater Emilii,36
00-114,Warszawa,Twarda,1
00-116,Warszawa,Świętokrzyska,24
00-117,Warszawa,Chmielna,38
00-118,Warszawa,Plater Emilii,34
00-120,Warszawa,Złota,10
00-121,Warszawa,Sienna,1
00-124,Warszawa,Pańska,2
00-124,Warszawa,Rondo ONZ,1
00-125,Warszawa,Plater Emilii,49
00-126,Warszawa,Sienna,2
00-127,Warszawa,Śliska,2
00-131,Warszawa,Grzybowska,2
00-132,Warszawa,Grzybowska,12
00-137,Warszawa,Elektoralna,1
00-139,Warszawa,Elektoralna,2
00-146,Warszawa,Nowolipie,1
00-149,Warszawa,Karmelicka,2
00-150,Warszawa,Nowolipie,2
00-151,Warszawa,Nowolipki,1
00-153,Warszawa,Nowolipki,4
00-153,Warszawa,Zamenhofa Ludwika,1
00-154,Warszawa,Dzielna,7
00-155,Warszawa,Karmelicka,8
00-157,Warszawa,Anielewicza Mordechaja,2
00-158,Warszawa,Nalewki,2
00-160,Warszawa,Nowolipki,2
00-160,Warszawa,Zamenhofa Ludwika,2
00-161,Warszawa,Anielewicza Mordechaja,7
00-162,Warszawa,Dzielna,2
00-163,Warszawa,Karmelicka,10
00-164,Warszawa,Pawia,2
00-165,Warszawa,Zamenhofa Ludwika,3
00-167,Warszawa,Anielewicza Mordechaja,10
00-168,Warszawa,Karmelicka,17
00-169,Warszawa,Lewartowskiego Józefa,18
00-172,Warszawa,Dzika,6
00-173,Warszawa,Karmelicka,23
00-174,Warszawa,Miła,8
00-176,Warszawa,Niska,8
00-178,Warszawa,Stawki,10
00-179,Warszawa,Niska,2
00-180,Warszawa,Miła,2
00-181,Warszawa,Karmelicka,24
00-182,Warszawa,Dubois Stanisława,7
00-183,Warszawa,Stawki,5
00-184,Warszawa,Dubois Stanisława,1
00-185,Warszawa,Lewartowskiego Józefa,10
00-186,Warszawa,Karmelicka,20
00-187,Warszawa,Nalewki,5
00-187,Warszawa,Zamenhofa Ludwika,10
00-188,Warszawa,Dubois Stanisława,6
00-190,Warszawa,Lewartowskiego Józefa,2
00-192,Warszawa,Muranowska,4
00-193,Warszawa,Stawki,2
00-194,Warszawa,Dzika,2
00-195,Warszawa,Słomińskiego Zygmunta,3
00-196,Warszawa,Dubois Stanisława,2
00-200,Warszawa,Franciszkańska,21
00-202,Warszawa,Wałowa,1
00-202,Warszawa,Świętojerska,16
00-203,Warszawa,Bonifraterska,18
00-204,Warszawa,Słomińskiego Zygmunta,2
00-205,Warszawa,Franciszkańska,16
00-206,Warszawa,Konwiktorska,6
00-209,Warszawa,Muranowska,2
00-211,Warszawa,Wałowa,2
00-213,Warszawa,Bonifraterska,2
00-214,Warszawa,Franciszkańska,2
00-216,Warszawa,Konwiktorska,5
00-217,Warszawa,Konwiktorska,2
00-227,Warszawa,Franciszkańska,1
00-228,Warszawa,Koźla,2
00-231,Warszawa,Mostowa,32
00-233,Warszawa,Franciszkańska,3
00-234,Warszawa,Koźla,1
00-236,Warszawa,Świętojerska,2
00-238,Warszawa,Długa,2
00-241,Warszawa,Długa,44
00-244,Warszawa,Hipoteczna,6
00-246,Warszawa,Miodowa,14
00-249,Warszawa,Kapitulna,2
00-251,Warszawa,Miodowa,6
00-252,Warszawa,Podwale,2
00-253,Warszawa,Kapitulna,1
00-256,Warszawa,Wąski Dunaj,2
00-258,Warszawa,Brzozowa,1
00-260,Warszawa,Mostowa,2
00-260,Warszawa,Nowomiejska,21
00-261,Warszawa,Podwale,26
00-262,Warszawa,Celna,1
00-263,Warszawa,Długa,1
00-266,Warszawa,Świętojańska,1
00-268,Warszawa,Wąski Dunaj,1
00-271,Warszawa,Nowomiejska,2
00-286,Warszawa,Brzozowa,2
00-287,Warszawa,Celna,2
00-288,Warszawa,Świętojańska,2
00-305,Warszawa,Dobra,92
00-310,Warszawa,Bednarska,2
00-311,Warszawa,Browarna,6
00-312,Warszawa,Dobra,42
00-315,Warszawa,Karowa,2
00-321,Warszawa,Bednarska,16
00-322,Warszawa,Krakowskie Przedmieście,52
00-324,Warszawa,Karowa,14
00-325,Warszawa,Krakowskie Przedmieście,6
00-328,Warszawa,Kopernika Mikołaja,36
00-330,Warszawa,Nowy Świat,70
00-332,Warszawa,Oboźna,2
00-333,Warszawa,Krakowskie Przedmieście,2
00-336,Warszawa,Kopernika Mikołaja,22
00-338,Warszawa,Browarna,2
00-340,Warszawa,Oboźna,1
00-342,Warszawa,Topiel,8
00-344,Warszawa,Dobra,26
00-347,Warszawa,Wybrzeże Kościuszkowskie,39
00-348,Warszawa,Smulikowskiego Juliana,16
00-349,Warszawa,Tamka,2
00-350,Warszawa,Topiel,2
00-351,Warszawa,Zajęcza,2
00-355,Warszawa,Tamka,26
00-356,Warszawa,Zajęcza,20
00-357,Warszawa,Nowy Świat,60
00-358,Warszawa,Ordynacka,10
00-359,Warszawa,Kopernika Mikołaja,11
00-360,Warszawa,Świętokrzyska,2
00-363,Warszawa,Nowy Świat,34
00-364,Warszawa,Ordynacka,9
00-366,Warszawa,Foksal,2
00-367,Warszawa,Kopernika Mikołaja,2
00-369,Warszawa,Ordynacka,2
00-372,Warszawa,Foksal,16
00-373,Warszawa,Nowy Świat,16
00-374,Warszawa,Aleje Jerozolimskie,2
00-379,Warszawa,Wybrzeże Kościuszkowskie,27
00-380,Warszawa,Kruczkowskiego Leona,8
00-382,Warszawa,Solec,46
00-384,Warszawa,Dobra,1
00-385,Warszawa,Tamka,9
00-386,Warszawa,Kruczkowskiego Leona,14
00-388,Warszawa,Dobra,2
00-389,Warszawa,Smulikowskiego Juliana,2
00-390,Warszawa,Wybrzeże Kościuszkowskie,2
00-394,Warszawa,Solec,32
00-402,Warszawa,Solec,67
00-403,Warszawa,Solec,24
00-405,Warszawa,Ludna,1
00-406,Warszawa,Ludna,2
00-407,Warszawa,Okrąg,6
00-409,Warszawa,Solec 61A,65
00-410,Warszawa,Solec,18
00-412,Warszawa,Kruczkowskiego Leona,2
00-413,Warszawa,Ludna,9
00-414,Warszawa,Ludna,10
00-415,Warszawa,Okrąg,1
00-416,Warszawa,Czerniakowska,219
00-417,Warszawa,Czerniakowska,182
00-418,Warszawa,Książęca,1
00-419,Warszawa,Rozbrat,42
00-421,Warszawa,Czerniakowska,180
00-423,Warszawa,Okrąg,2
00-424,Warszawa,Solec,39
00-425,Warszawa,Solec,14
00-429,Warszawa,Rozbrat,26
00-431,Warszawa,Koźmińska,21
00-432,Warszawa,Górnośląska,8
00-435,Warszawa,Koźmińska,2
00-436,Warszawa,Czerniakowska,179
00-438,Warszawa,Solec,21
00-439,Warszawa,Solec,8
00-440,Warszawa,Czerniakowska,162
00-443,Warszawa,Górnośląska,1
00-444,Warszawa,Górnośląska,2
00-447,Warszawa,Górnośląska,23
00-447,Warszawa,Rozbrat,16
00-448,Warszawa,Koźmińska,3
00-451,Warszawa,Rozbrat,2
00-452,Warszawa,Koźmińska,1
00-453,Warszawa,Czerniakowska,139
00-454,Warszawa,Czerniakowska,92
00-455,Warszawa,Solec,2
00-456,Warszawa,Solec,1
00-458,Warszawa,Górnośląska,45
00-461,Warszawa,Aleje Ujazdowskie,6
00-463,Warszawa,Podchorążych,32
00-466,Warszawa,Nowosielecka,2
00-477,Warszawa,Piękna,10
00-478,Warszawa,Aleje Ujazdowskie,2
00-479,Warszawa,Wiejska,21
00-480,Warszawa,Wiejska,1
00-482,Warszawa,Piękna,2
00-483,Warszawa,Frascati,2
00-484,Warszawa,Górnośląska,18
00-489,Warszawa,Wiejska,2
00-490,Warszawa,Wiejska,12
00-492,Warszawa,Frascati,1
00-495,Warszawa,Aleje Jerozolimskie,1
00-496,Warszawa,Nowy Świat,1
00-497,Warszawa,Nowy Świat,2
00-498,Warszawa,Książęca,2
00-501,Warszawa,Bracka,1
00-502,Warszawa,Bracka,2
00-503,Warszawa,Żurawia,2
00-505,Warszawa,Wspólna,2
00-508,Warszawa,Aleje Jerozolimskie,11
00-509,Warszawa,Krucza,46
